Projekt;Phase;Bezeichnung;Status;Verrechenbar
1139;011;Projektleitung;A;J
1139;012;Implement verr.;A;J
1139;013;Implement nicht verr.;A;J
1139;014;Consulting REWE;A;J
1070;011;Projektleitung;A;J
1070;012;Implement verr.;A;J
1070;013;Implement nicht verr.;A;J
1070;014;Consulting REWE;A;J
1072;011;Projektleitung;A;J
1072;012;Implement verr.;A;J
1072;013;Implement nicht verr.;A;J
1072;014;Consulting REWE;A;J
1031;001;Programmierung;A;J
1194;001;Programmierung;I;J
1125;011;Projektleitung;A;J
1125;012;Implement verr.;A;J
1125;013;Implement nicht verr.;A;J
1125;014;Consulting REWE;A;J
2018;011;Projektleitung;A;J
2018;012;Implement verr.;A;J
2018;013;Implement nicht verr.;A;J
2018;014;Consulting REWE;A;J
3152;011;Projektleitung;A;J
3152;012;Implement verr.;A;J
3152;013;Implement nicht verr.;A;J
3152;014;Consulting REWE;A;J
2077;001;Projektleitung;A;J
2077;002;Implementierung verr.;A;J
2077;003;Implementierung nicht verr.;A;J
2077;004;Consulting REWE;A;J
2097;000;***** nicht verrechenb. Leistungen *****;A;J
2097;010;Einarbeitung NV  (Aufbau Basiswissen);A;J
2097;020;div. Tätigkeiten NV ;A;J
2097;030;Wegzeit NV;A;J
2097;100;*** Allgem.-Implement. verrechenbar ***;A;J
2097;110;VTRG 2.1: Projektmanagement;A;J
2097;120;VTRG 2.3: Protokollierung WaWi+ReWe;A;J
2097;130;VTRG 2.3: Installation rs2 + DB;A;J
2097;200;*** WAWI-Implement. verrechenbar ***;A;J
2097;230;VTRG 2.3: Fakturier+Skidata I+S;A;J
2097;290;@Unterstützung Echtbetrieb (GoLive);A;J
2097;300;*** REWE-Implement. - verrechenbar ***;A;J
2097;310;VTRG 2.3: Analyse Prozesse/Organisation;A;J
2097;320;VTRG 2.3: FIBU I+S;A;J
2097;330;@KORE I+S;A;J
2097;340;@AVZ I+S;A;J
2097;390;@Unterstützung Echtbetrieb (GoLive);A;J
